student_id,topic_id,subject,grade,ability,diligence,difficulty,learned_on,obs_date,days_since_learned,lambda_true,R0_true,score_observed
S001,T048,Math,9,0.49799629176322635,0.7465891404679688,0.5726037616248777,2023-02-17,2023-02-17,0,0.047066294384177455,0.784677764380315,77
S001,T048,Math,9,0.49799629176322635,0.7465891404679688,0.5726037616248777,2023-02-17,2023-02-20,3,0.047066294384177455,0.784677764380315,60
S001,T048,Math,9,0.49799629176322635,0.7465891404679688,0.5726037616248777,2023-02-17,2023-02-24,7,0.047066294384177455,0.784677764380315,54
S001,T048,Math,9,0.49799629176322635,0.7465891404679688,0.5726037616248777,2023-02-17,2023-03-03,14,0.047066294384177455,0.784677764380315,37
S001,T048,Math,9,0.49799629176322635,0.7465891404679688,0.5726037616248777,2023-02-17,2023-03-19,30,0.047066294384177455,0.784677764380315,19
S001,T048,Math,9,0.49799629176322635,0.7465891404679688,0.5726037616248777,2023-02-17,2023-04-03,45,0.047066294384177455,0.784677764380315,6
S001,T048,Math,9,0.49799629176322635,0.7465891404679688,0.5726037616248777,2023-02-17,2023-04-18,60,0.047066294384177455,0.784677764380315,6
S001,T034,Physics,9,0.49799629176322635,0.7465891404679688,0.6591772338546266,2023-01-26,2023-01-26,0,0.051136203996127415,0.7673630699343652,80
S001,T034,Physics,9,0.49799629176322635,0.7465891404679688,0.6591772338546266,2023-01-26,2023-01-29,3,0.051136203996127415,0.7673630699343652,72
S001,T034,Physics,9,0.49799629176322635,0.7465891404679688,0.6591772338546266,2023-01-26,2023-02-02,7,0.051136203996127415,0.7673630699343652,53
S001,T034,Physics,9,0.49799629176322635,0.7465891404679688,0.6591772338546266,2023-01-26,2023-02-09,14,0.051136203996127415,0.7673630699343652,30
S001,T034,Physics,9,0.49799629176322635,0.7465891404679688,0.6591772338546266,2023-01-26,2023-02-25,30,0.051136203996127415,0.7673630699343652,18
S001,T034,Physics,9,0.49799629176322635,0.7465891404679688,0.6591772338546266,2023-01-26,2023-03-12,45,0.051136203996127415,0.7673630699343652,9
S001,T034,Physics,9,0.49799629176322635,0.7465891404679688,0.6591772338546266,2023-01-26,2023-03-27,60,0.051136203996127415,0.7673630699343652,4
S001,T031,Math,9,0.49799629176322635,0.7465891404679688,0.604474383743026,2023-05-23,2023-05-23,0,0.0485645657132198,0.7783036399566853,78
S001,T031,Math,9,0.49799629176322635,0.7465891404679688,0.604474383743026,2023-05-23,2023-05-26,3,0.0485645657132198,0.7783036399566853,66
S001,T031,Math,9,0.49799629176322635,0.7465891404679688,0.604474383743026,2023-05-23,2023-05-30,7,0.0485645657132198,0.7783036399566853,56
S001,T031,Math,9,0.49799629176322635,0.7465891404679688,0.604474383743026,2023-05-23,2023-06-06,14,0.0485645657132198,0.7783036399566853,44
S001,T031,Math,9,0.49799629176322635,0.7465891404679688,0.604474383743026,2023-05-23,2023-06-22,30,0.0485645657132198,0.7783036399566853,16
S001,T031,Math,9,0.49799629176322635,0.7465891404679688,0.604474383743026,2023-05-23,2023-07-07,45,0.0485645657132198,0.7783036399566853,8
